,precinct,candidates,location,address
10,MINNEAPOLIS W-2 P-07,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",AUGSBURG UNIVERSITY CHRISTENSEN CTR,"720 22ND AVE S MINNEAPOLIS, MN 55454"
11,MINNEAPOLIS W-6 P-03,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",COYLE COMMUNITY CENTER,"420 15TH AVE S MINNEAPOLIS, MN 55454"
12,MINNEAPOLIS W-2 P-09,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",MATTHEWS PARK,"2318 29TH AVE S MINNEAPOLIS, MN 55406"
13,ST. PAUL W-4 P-03,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",SEAL HIGH RISE (W-4 P-3),"825 SEAL ST ST PAUL, MN 55114"
14,MINNEAPOLIS W-3 P-06,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",EAST SIDE NEIGHBORHOOD SERVICES,"1700 2ND ST NE MINNEAPOLIS, MN 55413"
15,MINNEAPOLIS W-3 P-04,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",SPRING MANOR HIGHRISE,"828 SPRING ST NE MINNEAPOLIS, MN 55413"
16,MINNEAPOLIS W-3 P-05,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",WEBSTER ELEMENTARY SCHOOL,"425 5TH ST NEMINNEAPOLIS, MN 55413"
17,MINNEAPOLIS W-1 P-09,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",EDISON HIGH SCHOOL GYM,"2030 MONROE ST NE MINNEAPOLIS, MN 55418"
18,MINNEAPOLIS W-1 P-08,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",HOLLAND HIGHRISE,"1717 WASHINGTON ST NE MINNEAPOLIS, MN 55413"
19,MINNEAPOLIS W-3 P-10,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",NATIONAL GUARD ARMORY,"1025 BROADWAY ST NE MINNEAPOLIS, MN 55413"
20,MINNEAPOLIS W-1 P-06,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",PARKER SKYVIEW HIGHRISE,"1815 CENTRAL AVE NEMINNEAPOLIS, MN 55418"
21,MINNEAPOLIS W-3 P-12,"[{'party': 'REPUBLICAN', 'name': 'Donald J. Trump', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Deval Patrick', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tom Steyer', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Pete Buttigieg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Amy Klobuchar', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Julián Castro', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'John K. Delaney', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Marianne Williamson', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Bernie Sanders', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Andrew Yang', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Elizabeth Warren', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Tulsi Gabbard', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael R. Bloomberg', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Joseph Biden', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Uncommitted', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Cory Booker', 'office': 'U.S. Presidential Nominee'}, {'party': 'DEMOCRATIC-FARMER-LABOR', 'name': 'Michael Bennet', 'office': 'U.S. Presidential Nominee'}]",MINNEAPOLIS CENTRAL LIBRARY,"300 NICOLLET MALL MINNEAPOLIS, MN 55401"
